"","Code","MAGNITUD","ANO","MES","MONTHLYMAX","Station","Longitude","Latitude"
"1",28079004,1,2001,1,53,"Pza. de España",-3.7122567,40.4238823
"2",28079004,1,2001,2,42,"Pza. de España",-3.7122567,40.4238823
"3",28079004,1,2001,3,30,"Pza. de España",-3.7122567,40.4238823
"4",28079004,1,2001,4,18,"Pza. de España",-3.7122567,40.4238823
"5",28079004,1,2001,5,18,"Pza. de España",-3.7122567,40.4238823
"6",28079004,1,2001,6,19,"Pza. de España",-3.7122567,40.4238823
"7",28079004,1,2001,7,16,"Pza. de España",-3.7122567,40.4238823
"8",28079004,1,2001,8,14,"Pza. de España",-3.7122567,40.4238823
"9",28079004,1,2001,9,15,"Pza. de España",-3.7122567,40.4238823
"10",28079004,1,2001,10,17,"Pza. de España",-3.7122567,40.4238823
"11",28079004,1,2001,11,37,"Pza. de España",-3.7122567,40.4238823
"12",28079004,1,2001,12,53,"Pza. de España",-3.7122567,40.4238823
"13",28079004,6,2001,1,2.2,"Pza. de España",-3.7122567,40.4238823
"14",28079004,6,2001,2,2.3,"Pza. de España",-3.7122567,40.4238823
"15",28079004,6,2001,3,1.5,"Pza. de España",-3.7122567,40.4238823
"16",28079004,6,2001,4,1.2,"Pza. de España",-3.7122567,40.4238823
"17",28079004,6,2001,5,1.5,"Pza. de España",-3.7122567,40.4238823
"18",28079004,6,2001,6,1.5,"Pza. de España",-3.7122567,40.4238823
"19",28079004,6,2001,7,1.4,"Pza. de España",-3.7122567,40.4238823
"20",28079004,6,2001,8,1.4,"Pza. de España",-3.7122567,40.4238823
"21",28079004,6,2001,9,1.4,"Pza. de España",-3.7122567,40.4238823
"22",28079004,6,2001,10,2.3,"Pza. de España",-3.7122567,40.4238823
"23",28079004,6,2001,11,2.5,"Pza. de España",-3.7122567,40.4238823
"24",28079004,6,2001,12,3.5,"Pza. de España",-3.7122567,40.4238823
"25",28079004,7,2001,1,247,"Pza. de España",-3.7122567,40.4238823
"26",28079004,7,2001,2,264,"Pza. de España",-3.7122567,40.4238823
"27",28079004,7,2001,3,146,"Pza. de España",-3.7122567,40.4238823
"28",28079004,7,2001,4,122,"Pza. de España",-3.7122567,40.4238823
"29",28079004,7,2001,5,129,"Pza. de España",-3.7122567,40.4238823
