"","Code","Station","Longitude","Latitude"
"1",28079004,"Pza. de España",-3.7122567,40.4238823
"2",28079008,"Escuelas Aguirre",-3.6823158,40.4215533
"3",28079011,"Avda. Ramón y Cajal",-3.6773491,40.4514734
"4",28079016,"Arturo Soria",-3.6392422,40.4400457
"5",28079017,"Villaverde",-3.7133167,40.347147
"6",28079018,"Farolillo",-3.7318356,40.3947825
"7",28079024,"Casa de Campo",-3.7473445,40.4193577
"8",28079027,"Barajas Pueblo",-3.5800258,40.4769179
"9",28079035,"Pza. del Carmen",-3.7031662,40.4192091
"10",28079036,"Moratalaz",-3.6453104,40.4079517
"11",28079038,"Cuatro Caminos",-3.7071303,40.4455439
"12",28079039,"Barrio del Pilar",-3.7115364,40.4782322
"13",28079040,"Vallecas",-3.6515286,40.3881478
"14",28079047,"Mendez Alvaro",-3.6868138,40.3980991
"15",28079048,"Castellana",-3.6903729,40.4398904
"16",28079049,"Parque del Retiro",-3.68249999999999,40.4144444444444
"17",28079050,"Plaza Castilla",-3.6887449,40.4655841
"18",28079054,"Ensanche de Vallecas",-3.6121394,40.3730118
"19",28079055,"Urb. Embajada",-3.5805649,40.4623628
"20",28079056,"Pza. Elíptica",-3.7187679,40.3850336
"21",28079057,"Sanchinarro",-3.6605173,40.4942012
"22",28079058,"El Pardo",-3.7746101,40.5180701
"23",28079059,"Juan Carlos I",-3.6163407,40.4607255
"24",28079060,"Tres Olivos",-3.6897308,40.5005477
